time,latitude,longitude,sst
1850-01-16T11:59:59.505615,89.5,-113.5,271.36
1850-01-16T11:59:59.505615,89.5,-112.5,271.36
1850-01-16T11:59:59.505615,89.5,-111.5,271.36
1850-01-16T11:59:59.505615,89.5,-110.5,271.36
1850-01-16T11:59:59.505615,89.5,-109.5,271.36
1850-01-16T11:59:59.505615,89.5,-108.5,271.36
1850-01-16T11:59:59.505615,89.5,-107.5,271.36
1850-01-16T11:59:59.505615,89.5,-106.5,271.36
1850-01-16T11:59:59.505615,89.5,-105.5,271.36
1850-01-16T11:59:59.505615,89.5,-104.5,271.36
1850-01-16T11:59:59.505615,89.5,-103.5,271.36
1850-01-16T11:59:59.505615,89.5,-102.5,271.36
1850-01-16T11:59:59.505615,89.5,-101.5,271.36
1850-01-16T11:59:59.505615,89.5,-100.5,271.36
1850-01-16T11:59:59.505615,89.5,-99.5,271.36
1850-01-16T11:59:59.505615,89.5,-98.5,271.36
1850-01-16T11:59:59.505615,89.5,-97.5,271.36
1850-01-16T11:59:59.505615,89.5,-96.5,271.36
1850-01-16T11:59:59.505615,89.5,-95.5,271.36
1850-01-16T11:59:59.505615,89.5,-94.5,271.36
1850-01-16T11:59:59.505615,89.5,-93.5,271.36
1850-01-16T11:59:59.505615,89.5,-92.5,271.36
1850-01-16T11:59:59.505615,89.5,-91.5,271.36
1850-01-16T11:59:59.505615,89.5,-90.5,271.36
1850-01-16T11:59:59.505615,89.5,-89.5,271.36
1850-01-16T11:59:59.505615,89.5,-88.5,271.36
1850-01-16T11:59:59.505615,89.5,-87.5,271.36
1850-01-16T11:59:59.505615,89.5,-86.5,271.36
1850-01-16T11:59:59.505615,89.5,-85.5,271.36
1850-01-16T11:59:59.505615,89.5,-84.5,271.36
1850-01-16T11:59:59.505615,89.5,-83.5,271.36
1850-01-16T11:59:59.505615,89.5,-82.5,271.36
1850-01-16T11:59:59.505615,89.5,-81.5,271.36
